"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"Typhoid","Middle Africa","campaign",83.597097,8.449814,388.549726,53.151191
"Typhoid","Middle Africa","routine",136.244516,12.608469,822.00093,53.85486
"Typhoid","Northern Africa and Western Asia","campaign",19.275901,1.571092,75.447789,14.407078
"Typhoid","Northern Africa and Western Asia","routine",73.194775,-5.31364,582.803519,18.5718
"Typhoid","Eastern Africa","campaign",35.913831,10.180872,132.354184,25.666529
"Typhoid","Eastern Africa","routine",87.694817,10.078169,377.70432,47.72542
"Typhoid","Western Africa","campaign",47.725372,16.624221,135.903177,39.241365
"Typhoid","Western Africa","routine",74.059491,18.503115,250.2438,52.269598
"Typhoid","Southern Africa","campaign",12.701263,0.567192,61.441692,6.281591
"Typhoid","Southern Africa","routine",29.811898,0.968015,163.84939,8.73425
"Typhoid","Central and Southern Asia","campaign",4.891348,0.995082,12.976955,4.155285
"Typhoid","Central and Southern Asia","routine",8.082322,1.239864,39.311662,4.667358
"Typhoid","Eastern and South-Eastern Asia","campaign",5.835965,1.149584,30.31818,3.823292
"Typhoid","Eastern and South-Eastern Asia","routine",16.370365,1.11582,95.380147,6.598707
"Typhoid","Eastern and Southern Europe","campaign",1.205613,0,9.00574,0.296005
"Typhoid","Eastern and Southern Europe","routine",6.487848,0,41.238126,0.294464
"Typhoid","Latin America and the Caribbean","campaign",5.801806,1.23546,18.601854,4.343533
"Typhoid","Latin America and the Caribbean","routine",14.027655,1.628533,68.823811,6.406454
"Typhoid","Oceania","campaign",194.971502,2.439957,885.659068,62.924703
"Typhoid","Oceania","routine",118.58556,2.609841,492.402542,68.874502
"YF","Middle Africa","campaign",13.698946,3.22665,32.786782,12.796749
"YF","Middle Africa","routine",303.656438,23.877594,941.367842,241.674746
"YF","Northern Africa and Western Asia","campaign",50.748195,1.410548,182.929016,28.810261
"YF","Northern Africa and Western Asia","routine",275.011438,3.761307,1144.460674,124.012928
"YF","Eastern Africa","campaign",6.50059,0.785997,17.473276,5.624767
"YF","Eastern Africa","routine",100.089826,25.711068,246.356667,85.182985
"YF","Western Africa","campaign",18.131558,6.998602,43.272636,15.59288
"YF","Western Africa","routine",281.23195,83.702994,673.783977,240.501049
"YF","Latin America and the Caribbean","campaign",29.336271,3.275232,101.534902,17.766866
"YF","Latin America and the Caribbean","routine",117.165717,30.089016,279.93902,105.16751
